STT,CÂU HỎI,CÂU TRẢ LỜI
338,Mn v là mình đã hoàn thành thủ tục nhập học r hả mà sao em ch có lớp v ạ,B zo lại chỗ thông tin cá nhân là thấy nha
,,
339,"Dạ e hỏi, nếu ch đăng kí online giấy chứng nhận sinh viên thì có cách nào khác xin giấy đó đc ko ạ!",có thể lên thẳng phòng ctsv xin mà cũng phải quét QR form điền nhưng chắc sẽ có ng hướng dẫn á b
340,Cho em hỏi ngành sư phạm âm nhạc trường mình xét tuyển cách nào ạ,hình như trường mình không có ngành sư phạm âm nhạc é
341,Dạ Anh Chị cho e hỏi trường mình học quân sự mấy ngày vậy ạ,Quân sự 4 thì đi 5 ngày còn 1 2 3 thì học lý thuyết trên trường bạn nhé
342,anh chị nào có thể share tips ghi chép bài cho bọn em vs được k ạ ,"Thường thì môn nào cũng sẽ có giáo trình riêng, tùy môn học mà ghi ít hay nhiều, bạn chú ý theo dõi giáo trình với slide bài giảng của giảng viên, có thể note vài chỗ kh hiểu hoặc có thể chụp lại bạn nhé"
343,Ngành Du lịch của trường mình có chuyên ngành Quản trị khách sạn không ạ ?,Có chuyên ngành quản trị khách sạn
344,"Ngành du lịch có học các môn như toán cao cấp, kinh tế vĩ mô, vi mô không",Không nha em
345,cho mình hỏi trường có quy định mang giày không ạ?,"Đi học bình thường thì không bạn nhé, khi nào học thể chất thì mới bắt buộc phải đeo giày"
346,"Mn cho em hỏi, đăng kí vào trường sư phạm tphcm đăng kí như nào ạ","Thi thpt quốc gia xong, bạn sẽ được đăng ký trường theo hình thức nguyện vọng trên web thitotnghiepthptqg, bạn sẽ chọn ngành học, xét theo tổ hợp khối nào ( tùy ngành )"
,,Các em đợi đến mùa tuyển sinh thì trường các em sẽ luôn có thầy cô tư vấn về chuyện này.
347,Dạ e có hk khá 1 học kì nhưng cả năm tốt thì ngoại trừ xét tuyển thì e thi ĐGNL ," Em chỉ cần lớp 12 hsg thui em hen, mấy học kì trước khá hong sao nè"
348,tốt nghiệp thpt vẫn vào sư phạm vẫn được phải ko ạ!!,"nhỡ đâu lớp 12 em hsk thì khi em muốn xét học bạ hoặc kết quả đgnlcb kết hợp học bạ thì điểm thi tốt nghiệp em phải từ 8. Trở lên aa, còn nếu xét bằng điểm thi thptqg thì hong cần điều kiện gì kèm theo em nhé"
349,"Kì vừa rồi mình chưa vay kịp nên đóng học phí bị trễ hạn, mình nộp bằng hình thức banking, đã được 5-6 ngày rồi nhưng trên trang onl vẫn để nợ.",liên hệ qua email hocphi@hcmue.edu.vn hoặc đến phòng kế hoạch tài chính (A.205)
,"Mọi người cho mình hỏi để giải quyết vấn đề này thì mình phải liên hệ ở đâu ạ, mình cảm ơn mọi người.",
350,"Dạ anh chị cho em hỏi với ạ, thi tự luận đề mở là mình có đc đem giáo trình photo vào thi k ạ? Hay bắt buộc phải là giáo trình của nxb mới đc?","Dạ anh chị cho em hỏi với ạ, thi tự luận đề mở là mình có đc đem giáo trình photo vào thi k ạ? Hay bắt buộc phải là giáo trình của nxb mới đc?"
351,"dạ anh ơi cho em hỏi mình đem giáo trình photo vào nhưng trong đó có viết chữ của mình luôn thì được không ạ, trong quá trình học thầy có nói thêm thì em note vào sách luôn thì em sợ lúc thi không được phép, nếu mà mình note vào thì được mang vô không ạ?",đã cho phép tài liệu giấy thì e có mang nhật ký vào e viết cũng được chứ đừng nói sổ tay. Mang được hết miễn là giấy và nội dung trong đó không bị cấm là được nha e :))
352,"Dạ cho em hỏi là môn hp tự chọn như Tiếng Anh, Tiếng Trung,.. có tính điểm vào xếp loại, tích lũy không ạ ",không tính vào GPA nha e
353,Các anh chị cho em hỏi mẫu đơn xin bảo lưu lấy ở đâu và mình nên điền phần lý do như nào để được duyệt ạ?,Bạn lấy mẫu đơn tại https://hcmue.edu.vn/.../578-cac-m-u-don-c-n-thi-t-cho...
,,ở mục 3. Đơn xin tạm nghỉ học nhé.
,,Phần lý do theo mình thì nên điền dựa trên lý do thật sự mà bạn muốn bảo lưu và đính kèm minh chứng cho lý do ấy (nếu có) ạ.
354,"em đang có nguyện vọng được hỗ trợ vay vốn sinh viên của trường, vậy để được hỗ trợ vay vốn thì đầu tiên em cần liên hệ với nhà trường như thế nào và làm những thủ tục nào để được hỗ trợ vay vốn ạ, em cảm ơn ạ",cái vay vốn là nhà trường không có đưa tiền cho các bạn mà chỉ hỗ trợ xác nhận giấy tờ để các bạn vay gói vay sv tại ngân hàng chính sách của địa phương. Bạn liên hệ phòng ctct để xin giấy xác nhận sinh viên phụ vụ mục đích vay vốn. Sau đó liên hệ bên ngân hàng chính sách để làm thủ tục vay vốn
355,"Mn ơi, nếu mình cải thiện quá 5% sẽ bị hạ bằng, nhưng sẽ áp dụng đối với Xếp loại bằng Giỏi, Xuất sắc đúng không ạ? ",Cải thiện bao nhiêu cũng được. Chả biết mấy bạn nghe ở đâu mà ai cũng bảo cải thiện quá 5% hạ bậc bằng. Rõ ràng là rớt môn quá 5% mới bị
356,Cho em hỏi trường mình có ngành ngôn ngữ hàn ko ạ,Có nha
357,Dạ cho e hỏi thi đánh giá năng lực chuyên biệt có bắt buộc ko ạ,"Hongg em nhaa, nó chỉ là 1 phương thức xét tuyển khác của trường thôii em có thể thi hoặc không nè"
358,Anh chị cho em hỏi sư phạm giáo dục công dân có cần thi dgnl không ạ,"Nếu mà em muốn xét tuyển ngành Giáo dục công dân bằng kết quả đgnlcb của trường kết hợp học bạ thì em sẽ thi môn ngữ văn nhaa, cái này hong bắt buộc"
359,"cho em hỏi, nếu em lỡ chuyển khoản nhầm số báo danh thì tiền có được hoàn về không ạ? hay mất luôn ạ...",
360,Mọi người ơi cho em hỏi với ạ. Em tính liên thông lên đại học ngành ngôn ngữ Hàn thì không biết có được liên thông không ạ và liên thông như nào ạ. Em cảm ơn mọi người ạ.,Lthong đc nhe.
361,"Cho em hỏi nào trường mình nào mới xét đrl ạ , em thấy lâu quá ạ ",Sau khi đã có điểm thi tất cả các môn
,,
362,Các anh chị/bạn có thể cho em biết rõ hơn về phương thức xét tuyển bằng đề thi đgnl chuyên biệt kết hợp xét học bạ ko ạ?,Khi em xét bằng kết quả thi đgnlcb kết hợp học bạ ( hoặc học bạ ) thì điều kiện cần của em chỉ cần hsg lớp 12 thôi nhen ( trong trường hợp l12 em hong hsg thì điểm thi tốt nghiệp phải từ 8. trở lên )
,-Có cần 3 năm hsg ko? Hay năm 12 hsg thôi?,
363,Ngành giáo dục tiểu học thì thi những môn nào trong kì thi đgnl? ,ngành giáo dục tiểu học thì em có thể
,,thi môn văn -> để xét khối D01
,," thi môn toán -> để xét khối A00, A01 và D01"
364,Thi đgnl và có kqua trc khi kết thúc kì2 năm 12 thì tính điểm học bạ như nào ạ? ,"- sẽ có công thức là ( môn chính x2 + môn 1 + môn 2 ) *0,75 + điểm ƯT"
,,Ví dụ em sẽ xét bằng khối A00 -> môn chính em thi sẽ là môn toán
,,Gọi điểm đgnlcb môn chính ( môn toán ) là A
,,điểm trung bình 6 học kì môn lý là B
,,điểm trung bình 6 học kì môn hóa là C
,,-> điểm của em = (A*2+B+C)*0.75+ điểm ƯT ( nếu có )
365,"Mọi người ơi cho mình hỏi mình muốn học văn bằng 2 ngành giáo dục quốc phòng , trường mình có yêu cầu và xét gì không ạ ",
366,"mng cho em hỏi trường mình có ngành NGÔN NGỮ TRUNG không ạ, tại em lên tra chỉ có điểm chuẩn ngành SƯ PHẠM TIẾNG TRUNG thoi ạ",Có mà em ơi NN Trung năm nào cũng tuyển hết á
367,"Học cả năm trời, điều em thắc mắc nhất là phòng y tế trường mình nằm ở đâu vậy mấy anh chị ơi !","Đối diện chỗ lấy nước uống khu A nhe, gần ngân hàng Agribank luôn ó"
,,
368,Em là sinh viên trường khác muốn đăng ký học thạc sĩ nghành Hóa học trường mình thì phải thi tuyển đúng không ạ?,Xét tuyển và có thể học bồi dưỡng kiến thức nếu là ngành gần với ngành hoá học chi tiết đọc ở https://hcmue.edu.vn/.../2144-tha-ng-ba-o-tuya-n-sinh-tra... .
369,"Em chào anh chị ạ, cho em hỏi các bước để bảo lưu xin tạm nghỉ học như thế nào và trường mình cho bảo lưu tối đa bao nhiêu lần ạ. Em cảm ơn.",1. Liên hệ phòng khảo thí để in bảng điểm
,,2. Làm đơn xin tạm dừng học tập
,,"3. Nộp cái số 1 và 2 về khoa và chờ khoa phê duyệt, kí tên đóng dấu xác nhận đồng ý cho bảo lưu"
,,"4. Khi khoa đã kí, đóng dấu và thông báo đồng ý thì Chuyển tiếp hồ sơ về phòng công tác chính trị và chờ phòng xem xét giải quyết"
370,"Dạ cho em xin hỏi ngành Ngôn Ngữ Trung trường mình có nhất thiết đầu vào phải có bằng HSK không ạ, tại em muốn thi ngành nhưng chưa có bằng HSK nên sợ k đủ điều kiện ạ. ",Không nha em ơi
,,
371,"em có thắc mắc ạ, em không thuộc ưu tiên xét tuyển mà điểm em cao hơn bạn được ưu tiên xét tuyển thì trường xét  như thế nào ạ","2 diện khác nhau thì sẽ kh xét chung em oi, em sẽ được xét chung với những bạn kh thuộc diện utxt aa, nên điểm em có cao hơn bạn thuộc utxt thì cũng hong liên quan gì hết aa "
372,"Dạ anh chị ở Long Thành lên trường mình bằng xe bus thì đi tuyến nào vậy ạ? Em tính đi bus phương trang lên suối tiên, nhưng không biết đi tuyến nào lên trường mình ạ? Em cảm ơn anh chị.",Con lên tới bx miền đông mới rồi đi xe 56 nha
373,Hiện tại mình cần bảng điểm của trường thì xin ở đâu vậy mn? Do mình làm mất nên muốn xin lại. Cảm ơn mn.,"Bạn lên phòng khảo thí A.206 điền phiếu rồi đưa 5k, sau đó nhận lại phiếu và lấy vào 1 hoặc 2 hôm sau"
374,"Dạ em chào anh chị, thầy cô và tất cả mng ạ. Mng có biết việc chia lớp  A, B dựa trên tiêu chí nào không ạ. Em cảm ơn mng đã quan tâm và trả lời ạ",Hình như là chia ngẫu nhiên thui em ạ
,,
,,
,,
375,Ngày đki nhập học trực tiếp có bắt buộc phải có ba mẹ theo ko ạ?? Hay chỉ cần cccd của ba mẹ thoi ạ??,"Cần thì chỉ có chụp cccd của bố mẹ có gì cần thiết đối chiếu nha, bố mẹ không cần theo nha b"
376,có ai học tlh A giống tui hong,Mình nèee
377,cho e hỏi là năm đầu mình sẽ tập trung học ở cơ sở nào là nhiều nhất ạ . e cảm ơn,Chủ yếu ở cơ sở chính nha
378,"Em vào trang onl của trường tìm đơn để làm thủ tục bảo lưu nhưng không thấy. Hay đơn đó tên là ""đơn đề nghị (yêu cầu) xử lý công việc "" vậy ạ ? Mong ad duyệt giúp em", https://hcmue.edu.vn/.../CTCT/BieuMau/donxintamnghihoc.pdf
379,Trường mình có trung tâm gia sư không ạ,"Có nha, bạn theo dõi ở đây Facebook"
380,cho em hỏi ngành quốc tế học học ở cơ sở mấy vậy ạ,Học 3 cs luôn nha em
381,"Dạ cho em hỏi, thường mấy năm trước sau khi lên trường làm thủ tục nhập học trực tiếp xong thì trường có tổ chức các buổi sinh hoạt gì trước khi vào học chính thức không ạ",Có sinh hoạt công dân nha em
382,"Anh chị cho em hỏi về mức học phí mà mình sẽ đóng đầu năm khi nhập học ở trường không ạ. Em đki ngành nn trung quốc, anh chị cho em biết sơ về chi phí mình phải đóng ạ","Bé làm hồ sơ online đến phần thanh toán thì sẽ có chi phí cần đóng á em, gồm bhyt, ksk, thẻ sinh viên, học phí,...."
383,Mọi người cho em xin phép hỏi là ảnh thẻ sinh viên là trường chụp hay lấy ảnh thi THPTQG vậy ạ.,Ảnh thi THPT
384,Em muốn đki học av b2 ở trường,"Bạn có thể đến trung tâm tiếng anh trường đại học Sư Phạm TPHCM ở các cơ sở An Dương Vương, Lê Văn Sĩ, Lạc Long Quân"
,Thì dki ở đâu ạ,
385,Dạ anh chị cho em hỏi vào hôm nộp hồ sơ trực tiếp thì trường có làm thẻ ngân hàng cho mình không ạ? Và thẻ của ngân hàng nào ạ?,Thường khi làm hồ sơ trực tiếp bên NH Agribank sẽ vô hỗ trợ sinh viên mở thẻ á
386,Anh chị ơi cho e hỏi trường có công bố ngày học chính thức chưa ạ,11/9 á
387,Cho mình hỏi là bên trường Sư phạm HCM khi có mở lớp học và thi chứng chỉ tin học không ạ? Mình bên UPES mà mình chưa đăng kí kịp ạ. , Có á bạn
388,"Có bạn nào đk vào sư phạm Sử- Địa kh ạ ( mình dư có 0,75 à sợ ghê )",tui nè bà
389,"dạ cho mình hỏi là khi nào trường mở lớp học chứng chỉ tin học vậy ạ,",bạn vào web thsp.hcmue.edu.vn sẽ có thông tin nè. Bữa mình đăng ký thi ở văn phòng đối diện nhà hàng Bê Vàng đường An Dương Vương á. Mình k đăng ký ôn.
390,Cho e hỏi ngày nhập học mình cần mang gì với ạ? Mình có cần công chứng sơ yếu lý lịch với học bạ hay gì k ạ? Em cảm ơn ạ,Đến khi có kết quả đậu trường sẽ gửi mail hướng dẫn cụ thể em nhé.
391,Anh Chị cho em hỏi khi mình đi học thì có thời gian đi làm thêm không ạ.,"Có nhe, lm ít ít thôi, lm nhìu cũg ảnh hưởg việc học ấy"
392,Cho mình hỏi là xác nhận nhập học trực tuyến ở đâu vậy ạ??,trên trang web của bộ
393,"Em chào anh chị, em là học sinh trường công lập, em thi IELTS thì có lợi gì cho việc xét tuyển vào ngành sư phạm Anh không ạ",Hongg em nha
394,Cho em hỏi web trường ko vào được bữa giờ nên ko đóng học phí được thì phải làm sao ạ ,Chưa đến hạn đóng hp nên bạn đừng lo nhé. Trường mình ko khó khăn trong vấn đề hp đâu. Miễn đóng trước khi đăng ký học phần của kỳ tới là được.
,,
,,"Web trường đang ăn tết bạn ưi, tết ráng làm vài ván đi r đóng học phí seo cũng đc mà lo j"
395,Mọi người cho em hỏi là giải Học sinh giỏi cấp tỉnh được công bao nhiêu điểm khi xét theo phương thức dành cho học sinh trường chuyên vậy ạ?,- Hình thức xét tuyển: xét tuyển từ cao xuống thấp theo thứ tự ưu tiên của các tiêu chí cho đến khi hết chỉ tiêu.
,,"- Thứ tự ưu tiên: Đội tuyển HSGQG > Giải Tỉnh > Chứng chỉ ngoại ngữ > Học lực lớp lớp 10,11 Chuyên giỏi"
,,- Nên là kh có cộng điểm đâu ạ
396,Dạ anh chị và các bạn cho em hỏi muốn ra trường được bằng loại giỏi thì GPA các kỳ và tổng kết loại giỏi là được đúng không ạ. Điểm của em được ít A lắm và tổng kỳ 1 chỉ hơn 7 thôi nhưng vẫn loại giỏi nên em lo không biết bằng giỏi có cần A nhiều và điểm cao không,Em chỉ cần làm được 2 chuyện sau đây là được bằng giỏi nha
,,1. Điểm trung bình chung tích luỹ từ 3.20 đến 3.59
,,"2. Hạn chế rớt môn. Vì nếu rớt quá 5% số tín chỉ trong chương trình học, em sẽ bị hạ xuống loại khá."
397,"Hiện tại em là SV năm 2, em có hai HK loại trung bình, một HK loại khá. Cho em hỏi cách tính loại tốt nghiệp như thế nào và em đã bị hai HK trung bình như vậy có ảnh hưởng nhiều đến loại khi tốt nghiệp k ạ?",xếp loại tốt nghiệp nó là điểm trung bình tích lũy các HP 4 năm ĐH nè .Nên là còn năm 3 năm 4 cố gắng nhìu xíu thì có thể kéo lên được. Còn thở còn gỡ được nè ạ 
398,,
399,,
400,Cho em hỏi trường mình xét đầu ra Tiếng Anh là TOEIC 2 kĩ năng hay 4 kĩ năng ạ?,Toeic 4 kỹ năng
401,Mn ơi cho em hỏi là trong trường hợp mình ko đăng ký Nghị Định 116 thì phải đóng học phí bao nhiêu vậy ạ,mình hỏi anh chị trước là 4tr8 gần 5tr á b
,8,
402,"Dạ cho em hỏi mình đi học có được mặc váy không ạ, hay buộc phải quần dài, hay có đồng phục riêng ạ","Váy cũng được, nhưng phải giữ tác phong nghiêm chỉnh nên chọn váy đừng quá ngắn tốt nhất là từ đầu gối trở xuống á em"
403,Cho e hỏi mấy tháng đầu đã cần laptop chưa ạ,"chưa á, năm đầu cũng chả dùng mấy đâu"
404,Cho e hỏi năm nhất mình học ở cơ sở nào ạ,"Di chuyển 3 cơ sở như cơm bữa + maybe công viên Lê Thị Riêng để học thể dục nha em, nhưng chủ yếu nhiều nhất là cơ sở chính tại quận 5 nè"
405,dạ trường cho em hỏi về việc khám sức khoẻ với ạ. mình tự đi khám rồi nộp giấy hay sao ạ,"Lúc làm hồ sơ nhập học online sẽ có đóng phí gồm bhyt, khám sức khỏe, thẻ thư viện ( cũng là thẻ sinh viên) , học phí tạm ứng ( nếu ngoài sư phạm/ sư phạm nhưng không đăng kí nghị định 116). Nên khi làm hồ sơ trực tiếp tại trường thì sẽ có khám tại trường luôn không cần khám ngoài đâu nè"
406,trường mình có quy đổi điểm ielts ra điểm đại học không anh chị?,không nha
407,Ac cho em hỏi ngành ngôn ngữ hàn một kỳ bao nhiêu ạ? Với lại có cần phải có topik trc k ạ ? Còn về khối với điểm chuẩn ạ,"Khối D01, D96, DD2 ạ"
,,"Điểm chuẩn 2022 là 24,97 (thi THPT) còn 2023 là 24,9"
,,410-440k /1 tín chỉ ạ
408,Các anh chị cho em hỏi là em muốn vào Giáo dục Tiểu học thì có những phương án xét tuyển nào vậy ạ, Bạn tham khảo link này nha http://hcmup.edu.vn/index.php?option=com_content...
409,Cho e hỏi là trường mình khi nào xét học bạ ạ? e xin cảm ơn a/c ạ.,"Đợi đề án tuyển sinh 2024 nha b. Thường là cuối năm học á, tầm tháng 5 mới xét học bạ"
410,Mọi người cho em hỏi ngành ngôn ngữ Hàn có nhân hệ số 2 môn nào không ạ. Em cảm ơn ạ,Hình như là không ạ
411,"Cho em hỏi hình thức xét ĐGNL kết hợp với học bạ THPT, mà năm lớp 11 em bị hstb vậy có được xét không ạ ",Kết quả môn chính thi DGNL phải được 5. trở lên và thoả một trong hai điều kiện sau thì được :
,,+ Có học lực lớp 12 xếp loại giỏi;
,,"+ Có điểm xét tốt nghiệp THPT từ 8,0 trở lên."
412,Anh chị cho em hỏi sư phạm toán trường mình có nhận khối B00 không ạ ,Sư phạm toán trường mình chỉ xét A00 và A01 thui em oi
,,
,,Cách đơn giản nhất để bạn học B00 mà vào được SP toán là thi DGNLCB môn toán của trường mình á
413,"Dạ chào mọi người, em có thắc mắc cần được giải đáp ạ. Sau khi đã tốt nghiệp sư phạm ra trường không làm trong ngành giáo dục có bị phạt không ạ? Và nếu có quy định, thì mình phải dạy bao nhiêu năm trong ngành ạ? (Trong trường hợp em không nhận trợ cấp gì cả ạ) em xin cảm ơn nhiều ạ",Chào em.
,,"Nếu em có đăng ký nghị định 116/2020/NĐ-CP về hỗ trợ phí sinh hoạt cho sinh viên sư phạm, mà sau này tốt nghiệp em không công tác trong các ngành giáo dục, em sẽ phải bồi hoàn toàn bộ chi phí mà em đã được nhận."
,,"Tuy nhiên, nếu em không đăng ký nghị định trên, em sẽ phải đóng tiền học phí mỗi HK, nhưng sau khi tốt nghiệp sẽ không bị bồi hoàn chi phí nhé."
414,"Chào các anh chị, em muốn hỏi là sau khi ra trường nếu mình không dạy ở các trường công lập mà dạy ở những khu trung tâm hay dạy thêm mà mình nhận tiền trợ cấp thì nếu trong 8 năm trong ngành mình có phải hoàn lại số tiền nhận được k ạ? Em cảm ơn!","Chào bạn,"
,,Nếu bạn kí cam kết theo nghị định 116 thì sau tốt nghiệp bạn phải làm việc tại các cơ sở giáo dục được nhà nước công nhận mới được nha.
,,Không thì bạn phải hoàn trả lại số tiền bao gồm hỗ trợ và cả học phí nữa.
415,Theo pt 2 thi đối tượng tham gia đội tuyển hsg quốc gia là hs trong đội tuyển của tỉnh tham gia thi chọn hsg quốc gia đúng không ạ.,Chào em.
,,Về điều kiện đó là em phải trong đội tuyển HSG Quốc gia VÀ phải được dự thi các kỳ thi HSG Quốc tế thì mới được tính.
416,"Ad cho em hỏi: Em xét tuyển vào trường bằng điểm đánh giá năng lực chuyên biệt. Nhưng em đã tốt nghiệp vào năm 2023 rồi, thì e có được dùng điểm học bạ của mình để xét tuyển bằng phương thức này không ạ",Chào em.
,em cám ơn !,"Không nhé, vì pthuc đó có liên quan đến học bạ, nên chỉ áp dụng đối với thí sinh tốt nghiệp THPT ứng với năm xét tuyển."
417,Cho e hỏi mình đã nộp lệ phí thi từ hôm qua nhưng đến hôm nay em vẫn chưa nhận được phản hồi từ trường mình ạ huhu,Chào em.
,,Em chờ trong vòng 24 giờ để Trường duyệt lệ phí thi cho em nha
418,"Cho em hỏi là các phương thức xét tuyển (học bạ, đgnl, thpt) có cần điều kiện gì không ạ",Chào em.
,,Đối với pthuc xét kết quả kỳ thi tốt nghiệp THPT Quốc gia thì không cần điều kiện nào
,,Nhưng đối với pthuc có liên quan đến học bạ như: pthuc xét kết quả học tập THPT và pthuc xét kết quả học tập THPT kết hợp với kỳ thi ĐGNL Chuyên biệt có yêu cầu là phải được học sinh giỏi CẢ NĂM lớp 12.
419,Dạ em gửi lời chào đến các anh chị trong group mình ạ,Chào em.
,"Em năm nay có dự định thi vào sư phạm Anh của trường mình. Em tính đăng kí tham gia đgnl cb đợt 3 ạ. Điểm học bạ em khá thấp chỉ mức 6-7.5 thôi nhưng lại đặt mục tiêu cũng hơi cao so với mình . Em chọn đợt 3 bởi vì sợ trong 1 tháng tới không có đủ kiến thức để đi thi đợt 1 được ấy ạ. Không biết là em có nên thử sức không=(( Có anh chị nào năm ngoái đã thi đgnl SPA có thể cmt bên dưới cho em xin kinh nghiệm ôn thi, ôn ntn, form đề ra sao , thi gồm những phần nào... tất tần tật mọi thứ mà anh chị biết về nó được không ạ","Không có gì là không thể nha em, cứ cố gắng thì chúng ta sẽ nhận được kết quả xứng đáng và đúng những gì mà mình mong ước"
,,Chúc em thành công và đậu vào HCMU
420,E 2k5 cho e hỏi,Thí sinh tự do muốn xét tuyển vào Trường thì chỉ có 1 cách duy nhất là thi lại kỳ thi tốt nghiệp THPT Quốc gia và dùng kết quả này để xét tuyển.
,1. Năm nay e có được dùng phương thức xét cùng với dgnlcb k ạ (vì e đăng ký thi rồi ạ),
,2. Ngoài xét dgnlcb thì với thí sinh tự do chỉ còn cách xét điểm thi thptqg nếu muốn vào trường thôi đk ạ,
,E cám ơn,
421,"Cho em hỏi là lớp 12 em đc hs khá, vậy có thể học sư phạm đc ko ạ",về cái học lực khá ở trên thì đó chỉ là đk cần của pthuc xét kết quả học tập THPT và pthuc xét kết quả học tập THPT kết hợp với kỳ thi ĐGNL Chuyên biệt thôi
,,Còn phương thức xét kết quả kỳ thi tốt nghiệp THPT Quốc gia thì không cần điều kiện gì cả.
422,"cho em hỏi nếu em đăng ký thi đợt 3 thì có thể sẽ không cạnh tranh lại với những bạn thi đợt 1 , đợt 2 đúng không ",Chào em.
,,"Không phải nhé, cơ hội của các đợt là ngang nhau."
423,Xét Tuyển Với Thi thì cái nào xét học lực 3 năm ấy ạ?,Chào em.
,"Em có học sinh khá, có học sinh trung hình lớp 11 hk1 thì có được thi vào sư phạm tiểu học hong ạ",Pthuc xét kết quả học tập THPT và xét kết quả học tập THPT kết hợp với kỳ thi ĐGNL Chuyên biệt sẽ lấy kết quả điểm trung bình 6 học kỳ trong tổ hợp xét tuyển học bạ của em.
424,"Dạ kết quả bài thi đánh giá năng lực chuyên biệt của trường Đại học sư phạm Hà Nội có được áp dụng để xét tuyển vào trường Đại học sư phạm HCM không ạ. Tại tạm thời e không vào SG để dự thi được, trong khi đó kì thi của DHSP Hà Nội được tổ chức gần nhà em ạ. Rất mong anh/chị admin trả lời giúp em ạ. E cảm ơn anh/chị nhiều ạ.",Chào em.
,,Có em nhé.
425,"Dạ em thấy hiện tại cấp 2, cấp 3 học theo chương trình mới nên không còn môn hóa nữa mà thay vào đó là khtn. Vậy nếu giờ e học sư phạm hóa thì sau này ra trường có dạy hóa được không ạ?",Theo chương trình mới thì cấp 2 sẽ không còn môn lý hóa hoặc sinh độc lập nữa mà thay vào đó sẽ tích hợp cả 3 vào 1 môn được gọi là môn Khoa Học Tự Nhiên
,,"Còn cấp 3 thì vẫn có môn hóa, nhưng môn hóa đang là môn tự chọn rồi á, nên khi em học sp hóa thì sau ra trường em sẽ có cơ hội dạy hóa cấp 3 em nha"
426,"Cho em hỏi, hiện tại em đang là sinh viên năm 2, học CNTT tại học viện KTMM ạ. Em quan tâm và mong muốn được theo học chương trình song bằng của trường, tuy nhiên em không tìm thấy thông tin nào từ phía trường về việc cho phép sinh viên ngành không liên quan/không theo học tại trường được đăng ký. Em mong được có thêm thông tin nếu có thể xét tuyển ạ. Em cảm ơn ạ.","Chào bạn,"
,,"Trường hợp của bạn, bạn vui lòng liên hệ với Phòng Đào tạo của Trường để được tư vấn cụ thể hơn nhé."
,,Phòng Đào tạo - Trường Đại học Sư phạm Thành phố Hồ Chí Minh
,,"280 An Dương Vương, Phường 4, Quận 5, Tp. HCM (A.107)"
,,Điện thoại: (+84)-(28)-38352020 (số máy lẻ: 142)
,,Email: tuyensinhvlvh@hcmue.edu.vn
427,"Cho em hỏi năm nay trường đai học sư phạm TPHCM còn xét học bạ đối với học sinh : là thành viên đội tuyển học sinh giỏi quốc gia, đạt giải 3 trong kì thi học sinh giỏi tỉnh không ạ Nếu có chỉ tiêu là bao nhiêu và khi nào mở cổng đăng kí xét tuyển ạ",Không được em nha. Vì chỉ có phương thức “Xét tuyển và ưu tiên học sinh lớp chuyên” mới sử dụng các giải thưởng làm điều kiện xét tuyển ưu tiên từ trên xuống trong phương thức thôi nhen.
428,"Anh/ Chị ơi cho e hỏi là , e tốt nghiệp THPT đc 5 năm rồi và bây giờ e muốn đi học lại ngành sư phạm Anh thì e phải làm sao ạ ?","Chào bạn, nếu là thí sinh tự do đã tốt nghiệp từ các năm trước bạn chỉ có thể xét tuyển qua kỳ thi tốt nghiệp THPT 2024. Ngành Sư phạm Tiếng Anh xét theo tổ hợp D01 do đó bạn chỉ cần dự thi 3 môn trong tổ hợp là được nha."
429,Dạ cho em hỏi em học sp mầm non xong rồi nếu muốn học sp sinh hoặc sp tiểu học thì em phải thi lại thptqg hay sao ạ,em có thể nghĩ đến học song ngành nha.
430,Em có vài vấn đề thắc mắc mong được giải đáp ạ:  1. Em muốn vào ngành sư phạm tiếng trung ở trường vậy thì có tốn tiền học phí không ạ? Nếu có thì tầm bao nhiêu 1 năm ? 2. Sau khi học sư phạm ra nếu không đi dạy thì có phải hoàn tiền học phí hay tiền hỗ trợ và làm sao để ra trường không cần đi dạy nhưng vẫn không bị hoàn tiền?  3. Ngành ngôn ngữ trung ở trường học phí tầm bao nhiêu 1 năm ạ?,
,,"Chào em. 1. Nếu em có tìm hiểu NĐ116 kỹ hơn thì em sẽ thấy, sẽ có 2 cách: - Nếu đăng ký NĐ116, em sẽ được miễn học phí => được nhận 3.630.000 đồng/ tháng => Sau tốt nghiệp trong vòng 2 năm sẽ phải công tác trong ngành Giáo dục. - Nếu em không đăng ký NĐ116, em sẽ phải đóng tiền học phí, mỗi năm dao động từ 11-13 triệu/ năm (tùy vào số lượng tín chỉ em đăng ký), tốt nghiệp thì sẽ không bị ràng buộc gì cả. 2. Như anh có nói ở trên, trong nghị định 116 có quy định rõ ràng. Không có cách nào mà em không cần đi dạy mà không bị hoàn tiền gì cả. Nhà nước đã trợ cấp cho em theo NĐ116 là để cho em đi làm, còn không thì phải hoàn trả lại cho Nhà nước chứ. 3. Như trẻn nhé, từ 11-13 triệu/ năm."
431,"Mn cho e hỏi là trường mình ngành ngôn ngữ trung với ngành sư phạm trung có bắt buộc học tiếng anh không ạ, e cảm ơn mn nhiều lắm!",Trường mình ngành ngôn ngữ thì đều cần thêm bằng ngôn ngữ 2 để xét tốt nghiệp ĐH nha
,,"Ngoài tiếng Anh thì bạn có thể chọn NN2 là tiếng Hàn, Nhật…"
,,- Bạn có thể học bên ngoài để nộp cho trường xét TN nè
